miR_Family	Gene_Symbol
miR-208 ABI1
miR-208 ABI1
miR-208 ABI1
miR-208-3p ABI1
miR-208-3p ABI1
miR-499-5p ABI1
miR-499-5p ABI1
miR-499 ABI1
miR-499 ABI1
miR-499a-5p ABI1
miR-17-5p/20/93/106/519 ABI1
miR-106-5p/17-5p/20-5p/93-5p/519d ABI1
miR-17-5p/20/93/106 ABI1
miR-20/93/106 ABI1
miR-17-5p/20-5p/93-5p/106-5p/519-3p/526-3p ABI1
miR-106-5p/17-5p/20-5p/93-5p/6383 ABI1
miR-17-5p/20-5p/93-5p/106-5p/1643-3p ABI1
miR-17-5p/20-5p/93-5p/106b-5p ABI1
miR-9-5p ABI1
miR-9-5p ABI1
miR-9a-5p ABI1
miR-9-5p ABI1
miR-9-5p ABI1
miR-9 ABI1
miR-9 ABI1
miR-9-5p ABI1
miR-9-5p ABI1
miR-181-5p/4262 ABI1
miR-181-5p ABI1
miR-181 ABI1
miR-181-5p ABI1
miR-181-5p ABI1
miR-181-5p ABI1
miR-181 ABI1
miR-340-5p ABL1
miR-340 ABL1
miR-185 ABL1
miR-203/7194-5p ABL1
miR-203-3p.1 ABL1
miR-203 ABL1
miR-203 ABL1
miR-203a-3p ABL1
miR-30-5p/384-5p ABL1
miR-30-5p ABL1
miR-30-5p/384-5p ABL1
miR-196 ABL1
miR-196-5p ABL1
miR-196 ABL1
miR-196-5p ABL1
miR-140-3p.1 ABL1
miR-6612-5p ABL1
miR-30 ABL1
miR-30-5p ABL1
miR-30-5p ABL1
miR-30-5p ABL1
miR-455-3p ABL1
miR-455-3p.1 ABL1
miR-455 ABL1
miR-17-5p/20-5p/106-5p ABL1
miR-20/93/106 ABL1
miR-20/93/106 ABL2
miR-17-5p/20-5p/93-5p/106-5p/519-3p/526-3p ABL2
miR-17-5p/20-5p/93-5p/106-5p/519-3p/526-3p ABL2
miR-17-5p/20/93/106 ABL2
miR-17-5p/20/93/106 ABL2
miR-15-5p/16-5p/195-5p/424-5p/497-5p/6838-5p ABL2
miR-15-5p/16-5p/195-5p/424-5p/497-5p/6838-5p ABL2
miR-15/16/195/497 ABL2
miR-15/16/195/424/497 ABL2
miR-15/16/195/424/497 ABL2
miR-15-5p/16-5p/195-5p/322-5p/497-5p ABL2
miR-15-5p/16-5p/195-5p/322-5p/497-5p/1907/6342/6353/6419 ABL2
miR-15/16/195/424-5p/497 ABL2
miR-106-5p/17-5p/20-5p/93-5p/6383 ABL2
miR-17-5p/20-5p/93-5p/106b-5p ABL2
miR-106-5p/17-5p/20-5p/93-5p/519d ABL2
miR-17-5p/20/93/106/519 ABL2
miR-17-5p/20/93/106/519 ABL2
miR-106-5p/17-5p/20-5p/93-5p/519d ABL2
miR-15-5p/16-5p/195/497-5p ABL2
miR-30-5p ABL2
miR-30-5p ABL2
miR-25/32-5p/92-3p ABL2
miR-27-3p ABL2
miR-27 ABL2
miR-27-3p ABL2
miR-27-3p ABL2
miR-27 ABL2
miR-27-3p ABL2
miR-27-3p ABL2
miR-27 ABL2
miR-27-3p ABL2
miR-30-5p ABL2
miR-30 ABL2
miR-30-5p ABL2
miR-27-3p ABL2
miR-15-5p/16-5p ABL2
miR-15-5p/16-5p/195-5p/424-5p/497-5p ABL2
miR-15-5p/16-5p/195-5p/424-5p/497-5p ABL2
miR-9-5p ABL2
miR-9 ABL2
miR-9 ABL2
miR-9-5p ABL2
let-7-5p/miR-98-5p/1961 ABL2
let-7/98 ABL2
let-7-5p/miR-98 ABL2
let-7/98 ABL2
let-7-5p/miR-98 ABL2
let-7-5p/miR-98-5p ABL2
let-7-5p/98-5p/miR-4458/4500 ABL2
miR-9a-5p ABL2
miR-9-5p ABL2
miR-9-5p ABL2
let-7/98 ABL2
let-7-5p/miR-98/6134 ABL2
let-7/98 ABL2
