SEQ_ID	[Fan](normalized)	[Fan_pq](normalized)	GENE_NAME
AB000409	788.6094	716.1114	MKNK1
AB000463	378.32425	151.46797	SH3BP2
AB002294	236.0977	336.67776	SH3BP2
AB002308	471.2928	474.93814	KIAA0310
AB002311	126.33341	140.90224	RAPGEF2
AB002313	1790.6086	1665.5536	PLXNB2
AB002381	829.2934	556.07214	KIF1B
AB006621	132.89029	128.79324	SH3BP2
AB007457	534.9029	409.86005	TP53AP1
AB007870	123.35321	139.54338	NUPL1
AB007878	155.1429	120.11812	SH3PXD2A
AB007895	220.77882	213.75365	PCNXL2
AB007921	130.682	159.95494	C1orf34
AB007923	296.5545	1463.2981	PDE4DIP
AB007928	164.30861	147.90169	KIF1B
AB007940	205.60153	149.50061	RABGAP1L
AB008790	213.6876	145.21762	GRB7
AB010419	1681.6125	1300.8661	CBFA2T3
AB010962	142.65758	142.14438	MMP23B
AB011088	590.51685	250.49896	SPAG9
AB011154	498.19952	142.70714	CEP68
AB011157	259.258	519.95416	PTDSR
AB011163	178.99348	199.90726	KIF1B
AB011174	868.2075	585.38196	PACS2
AB011539	500.84247	606.30914	MEGF6
AB014512	619.2638	155.04843	BZRAP1
AB014514	907.8344	410.6207	FLJ30092
AB014527	184.19745	104.475494	CLASP2
AB014576	381.6098	346.82855	KIAA0676
AB018263	115.2991	138.3035	PLEKHG5
AB018269	725.5219	395.40146	CLSTN3
AB018304	472.44067	705.7823	CLCC1
AB018344	373.5396	204.3476	DDX46
AB019254	282.92178	129.61868	RREB1
AB019490	240.89133	118.510315	RABGAP1L
AB019491	135.9378	114.66357	RABGAP1L
AB019542	176.09094	140.55382	CLCN3
AB020633	307.50607	280.61163	FRYL
AB020648	905.52155	227.02756	KIAA0841
AB020652	119.334206	134.05493	NEFH
AB020674	3411.918	1739.1306	MLXIP
AB020699	1067.3583	520.1862	KIAA0892
AB020703	558.6002	248.23538	EDD1
